id,title,popularity,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,foreign,history,horror,music,mystery,romance,sciencefiction,thriller,tvmovie,war,western
12,Finding Nemo,25.497794,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
339967,Colossal,25.373662,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
101299,The Hunger Games: Catching Fire,25.309139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
238615,Self/less,25.301568,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
24,Kill Bill: Vol. 1,25.261865,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109439,The Hangover Part III,25.085639,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12445,Harry Potter and the Deathly Hallows: Part 2,24.990737,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
206647,Spectre,24.926577,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347882,Sleight,24.91169,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
374430,Black Mirror: White Christmas,24.910782,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0
674,Harry Potter and the Goblet of Fire,24.903058,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
93456,Despicable Me 2,24.82355,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136835,No Good Deed,24.644321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
382614,The Book of Henry,24.553725,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
14564,Rings,24.535733,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11187,Child's Play 3,24.515462,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
258230,A Monster Calls,24.483893,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
428449,A Ghost Story,24.339781,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
397422,Rough Night,24.317924,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,The Fifth Element,24.30526,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
109445,Frozen,24.248243,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
404733,Overdrive,24.124945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150540,Inside Out,23.985587,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
564,The Mummy,23.984065,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38365,Grown Ups,23.981251,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40096,A Dog's Will,23.950396,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18785,The Hangover,23.947351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68721,Iron Man 3,23.721243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8840,DragonHeart,23.63659,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
176,Saw,23.508433,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
281957,The Revenant,23.501228,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
10020,Beauty and the Beast,23.433511,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
416477,The Big Sick,23.424794,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
348,Alien,23.37742,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
12444,Harry Potter and the Deathly Hallows: Part 1,23.300362,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
49051,The Hobbit: An Unexpected Journey,23.253089,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
305470,Power Rangers,23.247298,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
250546,Annabelle,23.242452,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
158015,The Purge,23.207663,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
98,Gladiator,23.186667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36557,Casino Royale,23.065078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9325,The Jungle Book,22.845448,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
345922,Fist Fight,22.831649,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396535,Train to Busan,22.685169,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
280,Terminator 2: Judgment Day,22.661695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
62,2001: A Space Odyssey,22.494622,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
98566,Teenage Mutant Ninja Turtles,22.337973,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
158852,Tomorrowland,22.296076,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
20352,Despicable Me,22.274502,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9806,The Incredibles,22.220214,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13448,Angels & Demons,22.211558,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
270946,Penguins of Madagascar,22.201607,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
620,Ghostbusters,22.089729,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1726,Iron Man,22.073099,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
630,The Wizard of Oz,22.064932,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
118,Charlie and the Chocolate Factory,22.038405,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
207933,Stonehearst Asylum,21.991755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
862,Toy Story,21.946943,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45243,The Hangover Part II,21.893532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340677,I.T.,21.815354,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
314095,The Lost City of Z,21.791111,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
679,Aliens,21.761179,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
857,Saving Private Ryan,21.758054,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
11321,Seven Pounds,21.708267,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8587,The Lion King,21.605761,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
157350,Divergent,21.572585,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
393,Kill Bill: Vol. 2,21.533072,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10491,Enigma,21.520641,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
